id,idade,valor_normalizado
51,30,0.35
52,22,0.40
53,28,0.55
54,36,0.65
55,40,0.50
56,32,0.45
57,24,0.30
58,27,0.60
59,35,0.20
60,29,0.25
61,31,0.35
62,34,0.50
63,26,0.45
64,41,0.60
65,37,0.70
66,28,0.25
67,32,0.55
68,39,0.45
69,25,0.40
70,30,0.60
71,35,0.70
72,26,0.50
73,27,0.30
74,33,0.45
75,31,0.65
76,36,0.20
77,40,0.25
78,29,0.35
79,34,0.55
80,28,0.30
81,22,0.45
82,37,0.50
83,35,0.65
84,32,0.40
85,29,0.60
86,41,0.25
87,26,0.45
88,28,0.35
89,34,0.55
90,40,0.30
91,31,0.50
92,25,0.65
93,36,0.20
94,32,0.45
95,30,0.60
96,28,0.35
97,26,0.70
98,35,0.40
99,22,0.55
100,37,0.45
